Modifier,Param1,V (Valine),M (Methionine),L (Leucine),P (Proline),K (Lysine),C (Cysteine),H (Histidine),Q (Glutamine)
A(0),-0.23,VM-Alpha Sensor (22),VM-Alpha Sensor (22),LP-Propeller (21),LP-Propeller (21),KC-Mouth (20),KC-Mouth (20),HQ-Mutation Protection (43),HQ-Mutation Protection (43)
C(1),0.67,VM-Alpha Sensor (22),VM-Alpha Sensor (22),LP-Propeller (21),LP-Propeller (21),KC-Mouth (20),KC-Mouth (20),HQ-Storage (28),HQ-Storage (28)
D(2),-0.91,VM-Alpha Sensor (22),VM-Alpha Sensor (22),LP-Propeller (21),LP-Propeller (21),KC-Mouth (20),KC-Mouth (20),HQ-Storage (28),HQ-Storage (28)
E(3),-0.58,VM-Alpha Sensor (22),VM-Alpha Sensor (22),LP-Propeller (21),LP-Propeller (21),KC-Mouth (20),KC-Mouth (20),HQ-Storage (28),HQ-Storage (28)
F(4),0.17,VM-Alpha Sensor (22),VM-Alpha Sensor (22),LP-Propeller (21),LP-Propeller (21),KC-Vampire Mouth (33),KC-Vampire Mouth (33),HQ-Storage (28),HQ-Storage (28)
G(5),0.88,VM-Alpha Sensor (22),VM-Alpha Sensor (22),LP-Propeller (21),LP-Propeller (21),KC-Vampire Mouth (33),KC-Vampire Mouth (33),HQ-Storage (28),HQ-Storage (28)
H(6),-0.35,VM-Alpha Sensor (22),VM-Alpha Sensor (22),LP-Propeller (21),LP-Propeller (21),KC-Vampire Mouth (33),KC-Vampire Mouth (33),HQ-Storage (28),HQ-Storage (28)
I(7),0.61,VM-Alpha Mag Sensor (38),VM-Alpha Mag Sensor (38),LP-Propeller (21),LP-Propeller (21),KC-Enabler (26),KC-Enabler (26),HQ-Pairing Sensor (α/36 β/37),HQ-Pairing Sensor (α/36 β/37)
K(8),-0.12,VM-Alpha Mag Sensor (39),VM-Alpha Mag Sensor (39),LP-Propeller (21),LP-Propeller (21),KC-Enabler (26),KC-Enabler (26),HQ-Pairing Sensor (α/36 β/37),HQ-Pairing Sensor (α/36 β/37)
L(9),0.95,VM-Agent Alpha Sensor (34),VM-Agent Alpha Sensor (34),LP-Propeller (21),LP-Propeller (21),KC-Enabler (26),KC-Enabler (26),HQ-Trail Energy (α/37 β/37),HQ-Trail Energy (α/37 β/37)
M(10),-0.48,VM-Beta Sensor (23),VM-Beta Sensor (23),LP-Displacer A (25),LP-Displacer A (25),KC-Slope Sensor (α/32 β/32),KC-Slope Sensor (α/32 β/32),HQ-Trail Energy (α/37 β/37),HQ-Poison Resist (29)
N(11),0.24,VM-Beta Sensor (23),VM-Beta Sensor (23),LP-Displacer A (25),LP-Displacer A (25),KC-Slope Sensor (α/32 β/32),KC-Slope Sensor (α/32 β/32),HQ-Trail Energy (α/37 β/37),HQ-Poison Resist (29)
P(12),-0.77,VM-Beta Sensor (23),VM-Beta Sensor (23),LP-Displacer A (25),LP-Displacer A (25),KC-Slope Sensor (α/32 β/32),KC-Slope Sensor (α/32 β/32),HQ-Trail Energy (α/37 β/37),HQ-Poison Resist (29)
Q(13),0.53,VM-Beta Sensor (23),VM-Beta Sensor (23),LP-Displacer A (25),LP-Displacer A (25),KC-Slope Sensor (α/32 β/32),KC-Slope Sensor (α/32 β/32),HQ-Trail Energy (α/37 β/37),HQ-Poison Resist (29)
R(14),-0.29,VM-Beta Sensor (23),VM-Beta Sensor (23),LP-Displacer A (25),LP-Displacer A (25),KC-Clock (α/31 β/31),KC-Clock (α/31 β/31),HQ-Chiral Flipper (30),HQ-Chiral Flipper (30)
S(15),0.71,VM-Beta Sensor (23),VM-Beta Sensor (23),LP-Displacer B (27),LP-Displacer B (27),KC-Clock (α/31 β/31),KC-Clock (α/31 β/31),HQ-Chiral Flipper (30),HQ-Chiral Flipper (30)
T(16),-0.66,VM-Beta Mag Sensor (40),VM-Beta Mag Sensor (40),LP-Displacer B (27),LP-Displacer B (27),KC-Sine Gen (α/31 β/31),KC-Sine Gen (α/31 β/31),HQ-Chiral Flipper (30),HQ-Chiral Flipper (30)
V(17),0.36,VM-Beta Mag Sensor (41),VM-Beta Mag Sensor (41),LP-Displacer B (27),LP-Displacer B (27),KC-Sine Gen (α/31 β/31),KC-Sine Gen (α/31 β/31),HQ-Chiral Flipper (30),HQ-Chiral Flipper (30)
W(18),-0.84,VM-Beta Sensor (23),VM-Beta Sensor (23),LP-Anchor (α/42 β/42),LP-Anchor (α/42 β/42),KC-Sine Gen (α/31 β/31),KC-Sine Gen (α/31 β/31),HQ-Chiral Flipper (30),HQ-Chiral Flipper (30)
Y(19),0.08,VM-Agent Beta Sensor (35),VM-Agent Beta Sensor (35),LP-Anchor (α/42 β/42),LP-Anchor (α/42 β/42),KC-Sine Gen (α/31 β/31),KC-Sine Gen (α/31 β/31),HQ-Chiral Flipper (30),HQ-Chiral Flipper (30)
